Transaction ID,Customer ID,Merchant ID,Transaction Amount,Time of Transaction,Day of Transaction_cd,Day of Transaction,Product Category_cd,Product Category,Average Monthly Spending,Average Transaction Amount,Average Distance from Home,Number of Transactions in the last 24 hours,Average Time between Transactions in the last 24 hours,Number of Transactions in the last 7 days,Average Time between Transactions in the last 7 days,Distance Traveled in the last 24 hours,Number of Different Merchants Used in the last 24 hours,Number of Different Merchants Used in the last 7 days,Payment Method_cd,Payment Method,Bank Issuer_cd,Bank Issuer,Credit Score,Credit Limit,Account Age,Merchant Location_cd,Merchant Location,Customer Location_cd,Customer Location,Merchant Type_cd,Merchant Type,Customer Type_cd,Customer Type,Fraudulent Transaction,Fraudulent Transaction_cd
515959,652838,64578,43351,01:29:55,4,Thursday,15,Home Decor,5000,200,10,5,17,10,14,50,4,9,5,Credit Card,16,JP Morgan,700,10000,2,24,New York,37,New York,12,Online,1, One-time Shopper,NO,0
544337,139951,7131,23027,11:27:47,4,Thursday,7,Electronics,3500,80,5,2,4,12,10,20,2,1,6,Debit Card,6,Bank of America,650,5000,1,20,London,28,London,12,Online,1, One-time Shopper,YES,1
805481,676925,56410,24298,07:45:28,3,Wednesday,7,Electronics,1500,40,15,1,5,3,22,20,1,3,8,Mobile Payment,6,Bank of America,600,2000,0.5,33,Tokyo,4, Japan,12,Online,1, One-time Shopper,NO,0
823498,584673,18288,84852,08:09:17,5,Friday,19,Pharmacy,7000,300,20,3,9,15,11,100,0,15,5,Credit Card,6,Bank of America,800,20000,3,28,Sao Paulo,3, Brazil,12,Online,1, One-time Shopper,YES,1
398625,419582,80916,2882,13:40:22,6,Saturday,18,Pet Supplies,800,20,2,1,3,4,26,10,1,1,7,E-wallet,6,Bank of America,550,1000,0.5,17,Hong Kong,48,Shanghai,12,Online,2,Occasional,NO,0
484119,398910,14822,55125,16:14:51,2,Tuesday,17,Office Supplies,5000,750,5,2,12,10,12,10,0,7,5,Credit Card,8,Chase,750,10000,1,24,New York,37,New York,16,Retailer,2,Occasional,NO,0
185294,766077,19080,67531,02:21:15,7,Sunday,7,Electronics,2000,250,3,1,10,20,5,20,0,4,6,Debit Card,6,Bank of America,680,5000,2,27,San Francisco,45,San Francisco,12,Online,2,Occasional,YES,1
808836,961104,65308,70025,14:53:56,4,Thursday,13,Home and Garden,1000,100,2,3,12,5,20,5,0,4,5,Credit Card,20,Wells Fargo,800,15000,5,12,Chicago,18,Chicago,14,Restaurant,2,Occasional,NO,0
582756,778652,77022,93257,02:29:47,7,Sunday,13,Home and Garden,500,200,5,2,4,10,6,20,0,6,6,Debit Card,6,Bank of America,700,5000,3,24,New York,37,New York,12,Online,2,Occasional,NO,0
615608,657031,20863,23124,18:51:02,1,Monday,9,Food and Beverage,400,100,8,1,9,6,14,15,0,5,5,Credit Card,6,Bank of America,650,8000,2,21,Los Angeles,30,Los Angeles,5,Department Store,2,Occasional,NO,0
